taxon	p	effect_size_r	log2FC	padj
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	0.006066328415584021	-0.1259	0.5614	0.047627131603202214
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__Peptococcus	0.0063688770905742115	-0.0364	1.6648	0.0482900475292168
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium	0.00626023778672447	-0.052	4.684	0.0482900475292168
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae	0.00626023778672447	-0.052	4.684	0.0482900475292168
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae	0.0063688770905742115	-0.0364	1.6648	0.0482900475292168
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__Peptococcus|s__Peptococcus_niger	0.0063688770905742115	-0.0364	1.6648	0.0482900475292168
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_hylemonae	0.006776892329843036	-0.0486	3.5023	0.05103414836147103
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus|s__Pediococcus_acidilactici	0.00692952526798795	-0.0428	7.9494	0.051483117259480946
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_dispar	0.0068974239767558955	-0.0306	27.6153	0.051483117259480946
k__Archaea|p__Euryarchaeota|c__Thermoplasmata	0.0075241740205036645	-0.0564	1.7696	0.0551606664946858
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales	0.0075241740205036645	-0.0564	1.7696	0.0551606664946858
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_disporicum	0.007584074581672818	-0.0682	0.3886	0.05523401685468296
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus	0.007691642011222335	-0.0449	7.9012	0.05565129219884395
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47	0.008076368339431966	0.0984	-0.5979	0.05805545293344926
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus	0.008319902395163349	0.0927	-0.6431	0.059420206138360174
